Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
12/2024,1338/3,Escritorio e Assessorica Solução Contabil,"366,67","366,67",Em aberto,00/00/0000,02/10/2024,Boleto Bancário,Serviços contábeis,Itaú,-,15/12/2024
12/2024,5971/3,Porto Seguro Cia,"208,91","208,91",Em aberto,00/00/0000,16/09/2024,-,Segurança,Itaú,-,16/12/2024
12/2024,234622/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"3.074,04","3.074,04",Em aberto,00/00/0000,11/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,05/12/2024
12/2024,037732/03,EasyTech Shield Brasil LTDA,"5.350,93","5.350,93",Em aberto,00/00/0000,11/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,05/12/2024
12/2024,037732/04,EasyTech Shield Brasil LTDA,"5.350,93","5.350,93",Em aberto,00/00/0000,11/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,19/12/2024
12/2024,11/2024,Sabesp,"304,51","304,51",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Água,Itaú,-,25/11/2024
12/2024,11/2024,Sabesp,"214,18","214,18",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Água,Itaú,-,25/12/2024
12/2024,11/2024,EDP,"515,25","515,25",Em aberto,00/00/0000,14/10/2024,Boleto Bancário,Energia elétrica,Itaú,-,18/12/2024
12/2024,017399/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"2.172,60","2.172,60",Em aberto,00/00/0000,15/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,017416/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"4.742,09","4.742,09",Em aberto,00/00/0000,15/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/12/2024
12/2024,6073/3,Bling Organisys Software,425,425,Em aberto,00/00/0000,16/10/2024,Boleto Bancário,BLING,Itaú,-,16/12/2024
12/2024,113270/02,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.525,34","2.525,34",Em aberto,00/00/0000,16/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,30/12/2024
